Rows/Columns,1,2,3,4
1,"IITA-TMS-IBA980581
CASS_6Genotypes_103
41284
103","IITA-TMS-IBA980002
CASS_6Genotypes_104
41295
104","IITA-TMS-IBA30572
CASS_6Genotypes_105
41296
105","IITA-TMS-IBA011412
CASS_6Genotypes_106
41297
106"
2,"IITA-TMS-IBA980002
CASS_6Genotypes_203
41301
203","TMEB693
CASS_6Genotypes_202
41300
202","BLANK
CASS_6Genotypes_201
41299
201","TMEB693
CASS_6Genotypes_107
41298
107"
3,"IITA-TMS-IBA980581
CASS_6Genotypes_204
41302
204","IITA-TMS-IBA011412
CASS_6Genotypes_205
41285
205","IITA-TMS-IBA30572
CASS_6Genotypes_206
41286
206","TMEB419
CASS_6Genotypes_207
41287
207"
4,"TMEB693
CASS_6Genotypes_304
41291
304","IITA-TMS-IBA30572
CASS_6Genotypes_303
41290
303","TMEB419
CASS_6Genotypes_302
41289
302","BLANK
CASS_6Genotypes_301
41288
301"
5,"IITA-TMS-IBA011412
CASS_6Genotypes_305
41292
305","IITA-TMS-IBA980002
CASS_6Genotypes_306
41293
306","IITA-TMS-IBA980581
CASS_6Genotypes_307
41294
307",""
